EMMY_BEST_COMEDIES_0001,"Emmy Best Comedies
2024","Hacks
Season 3
HBO Max"
EMMY_BEST_COMEDIES_0002,"Emmy Best Comedies
Hacks
Season 3
HBO Max",2024
EMMY_BEST_COMEDIES_0003,"Emmy Best Comedies
2023","The Bear
Season 1
FX"Whoa who
EMMY_BEST_COMEDIES_0004,"Emmy Best Comedies
The Bear
Season 1
FX",2023
EMMY_BEST_COMEDIES_0005,"Emmy Best Comedies
2022","Ted Lasso (2/2)
Season 2
Apple TV+"
EMMY_BEST_COMEDIES_0006,"Emmy Best Comedies
Ted Lasso (2/2)
Season 2
Apple TV+",2022
EMMY_BEST_COMEDIES_0007,"Emmy Best Comedies
2021","Ted Lasso (1/2)
Season 1
Apple TV+"
EMMY_BEST_COMEDIES_0008,"Emmy Best Comedies
Ted Lasso (1/2)
Season 1
Apple TV+",2021
EMMY_BEST_COMEDIES_0009,"Emmy Best Comedies
2020","Schitt's Creek
Season 6
Pop TV"
EMMY_BEST_COMEDIES_0010,"Emmy Best Comedies
Schitt's Creek
Season 6
Pop TV",2020
EMMY_BEST_COMEDIES_0011,"Emmy Best Comedies
2019","Fleabag
Season 2
Prime Video"
EMMY_BEST_COMEDIES_0012,"Emmy Best Comedies
Fleabag
Season 2
Prime Video",2019
EMMY_BEST_COMEDIES_0013,"Emmy Best Comedies
2018","The Marvelous Mrs. Maisel
Season 1
Prime Video"
EMMY_BEST_COMEDIES_0014,"Emmy Best Comedies
The Marvelous Mrs. Maisel
Season 1
Prime Video",2018
EMMY_BEST_COMEDIES_0015,"Emmy Best Comedies
2017","Veep (3/3)
Season 6
HBO"
EMMY_BEST_COMEDIES_0016,"Emmy Best Comedies
Veep (3/3)
Season 6
HBO",2017
EMMY_BEST_COMEDIES_0017,"Emmy Best Comedies
2016","Veep (2/3)
Season 5
HBO"
EMMY_BEST_COMEDIES_0018,"Emmy Best Comedies
Veep (2/3)
Season 5
HBO",2016
EMMY_BEST_COMEDIES_0019,"Emmy Best Comedies
2015","Veep (1/3)
Season 4
HBO"
EMMY_BEST_COMEDIES_0020,"Emmy Best Comedies
Veep (1/3)
Season 4
HBO",2015
EMMY_BEST_COMEDIES_0021,"Emmy Best Comedies
2014","Modern Family (5/5)
Season 5
ABC"
EMMY_BEST_COMEDIES_0022,"Emmy Best Comedies
Modern Family (5/5)
Season 5
ABC",2014
EMMY_BEST_COMEDIES_0023,"Emmy Best Comedies
2013","Modern Family (4/5)
Season 4
ABC"
EMMY_BEST_COMEDIES_0024,"Emmy Best Comedies
Modern Family (4/5)
Season 4
ABC",2013
EMMY_BEST_COMEDIES_0025,"Emmy Best Comedies
2012","Modern Family (3/5)
Season 3
ABC"
EMMY_BEST_COMEDIES_0026,"Emmy Best Comedies
Modern Family (3/5)
Season 3
ABC",2012
EMMY_BEST_COMEDIES_0027,"Emmy Best Comedies
2011","Modern Family (2/5)
Season 2
ABC"
EMMY_BEST_COMEDIES_0028,"Emmy Best Comedies
Modern Family (2/5)
Season 2
ABC",2011
EMMY_BEST_COMEDIES_0029,"Emmy Best Comedies
2010","Modern Family (1/5)
Season 1
ABC"
EMMY_BEST_COMEDIES_0030,"Emmy Best Comedies
Modern Family (1/5)
Season 1
ABC",2010
EMMY_BEST_COMEDIES_0031,"Emmy Best Comedies
2009","30 Rock (3/3)
Season 3
NBC"
EMMY_BEST_COMEDIES_0032,"Emmy Best Comedies
30 Rock (3/3)
Season 3
NBC",2009
EMMY_BEST_COMEDIES_0033,"Emmy Best Comedies
2008","30 Rock (2/3)
Season 2
NBC"
EMMY_BEST_COMEDIES_0034,"Emmy Best Comedies
30 Rock (2/3)
Season 2
NBC",2008
EMMY_BEST_COMEDIES_0035,"Emmy Best Comedies
2007","30 Rock (1/3)
Season 1
NBC"
EMMY_BEST_COMEDIES_0036,"Emmy Best Comedies
30 Rock (1/3)
Season 1
NBC",2007
EMMY_BEST_COMEDIES_0037,"Emmy Best Comedies
2006","The Office
Season 2
NBC"
EMMY_BEST_COMEDIES_0038,"Emmy Best Comedies
The Office
Season 2
NBC",2006
EMMY_BEST_COMEDIES_0039,"Emmy Best Comedies
2005","Everybody Loves Raymond (2/2)
Season 9
CBS"
EMMY_BEST_COMEDIES_0040,"Emmy Best Comedies
Everybody Loves Raymond (2/2)
Season 9
CBS",2005
EMMY_BEST_COMEDIES_0041,"Emmy Best Comedies
2004","Arrested Development
Season 1
Fox"
EMMY_BEST_COMEDIES_0042,"Emmy Best Comedies
Arrested Development
Season 1
Fox",2004
EMMY_BEST_COMEDIES_0043,"Emmy Best Comedies
2003","Everybody Loves Raymond (1/2)
Season 7
CBS"
EMMY_BEST_COMEDIES_0044,"Emmy Best Comedies
Everybody Loves Raymond (1/2)
Season 7
CBS",2003
EMMY_BEST_COMEDIES_0045,"Emmy Best Comedies
2002","Friends
Season 8
NBC"
EMMY_BEST_COMEDIES_0046,"Emmy Best Comedies
Friends
Season 8
NBC",2002
EMMY_BEST_COMEDIES_0047,"Emmy Best Comedies
2001","Sex and the City
Season 3
HBO"
EMMY_BEST_COMEDIES_0048,"Emmy Best Comedies
Sex and the City
Season 3
HBO",2001
EMMY_BEST_COMEDIES_0049,"Emmy Best Comedies
2000","Will & Grace
Season 2
NBC"
EMMY_BEST_COMEDIES_0050,"Emmy Best Comedies
Will & Grace
Season 2
NBC",2000
EMMY_BEST_COMEDIES_0051,"Emmy Best Comedies
1999","Ally McBeal
Season 2
Fox"
EMMY_BEST_COMEDIES_0052,"Emmy Best Comedies
Ally McBeal
Season 2
Fox",1999
EMMY_BEST_COMEDIES_0053,"Emmy Best Comedies
1998","Frasier (5/5)
Season 5
NBC"
EMMY_BEST_COMEDIES_0054,"Emmy Best Comedies
Frasier (5/5)
Season 5
NBC",1998
EMMY_BEST_COMEDIES_0055,"Emmy Best Comedies
1997","Frasier (4/5)
Season 4
NBC"
EMMY_BEST_COMEDIES_0056,"Emmy Best Comedies
Frasier (4/5)
Season 4
NBC",1997
EMMY_BEST_COMEDIES_0057,"Emmy Best Comedies
1996","Frasier (3/5)
Season 3
NBC"
EMMY_BEST_COMEDIES_0058,"Emmy Best Comedies
Frasier (3/5)
Season 3
NBC",1996
EMMY_BEST_COMEDIES_0059,"Emmy Best Comedies
1995","Frasier (2/5)
Season 2
NBC"
EMMY_BEST_COMEDIES_0060,"Emmy Best Comedies
Frasier (2/5)
Season 2
NBC",1995
EMMY_BEST_COMEDIES_0061,"Emmy Best Comedies
1994","Frasier (1/5)
Season 1
NBC"
EMMY_BEST_COMEDIES_0062,"Emmy Best Comedies
Frasier (1/5)
Season 1
NBC",1994
EMMY_BEST_COMEDIES_0063,"Emmy Best Comedies
1993","Seinfeld
Season 4
NBC"
EMMY_BEST_COMEDIES_0064,"Emmy Best Comedies
Seinfeld
Season 4
NBC",1993
EMMY_BEST_COMEDIES_0065,"Emmy Best Comedies
1992","Murphy Brown (2/2)
Season 4
CBS"
EMMY_BEST_COMEDIES_0066,"Emmy Best Comedies
Murphy Brown (2/2)
Season 4
CBS",1992
EMMY_BEST_COMEDIES_0067,"Emmy Best Comedies
1991","Cheers (4/4)
Season 9
NBC"
EMMY_BEST_COMEDIES_0068,"Emmy Best Comedies
Cheers (4/4)
Season 9
NBC",1991
EMMY_BEST_COMEDIES_0069,"Emmy Best Comedies
1990","Murphy Brown (1/2)
Season 2
CBS"
EMMY_BEST_COMEDIES_0070,"Emmy Best Comedies
Murphy Brown (1/2)
Season 2
CBS",1990
EMMY_BEST_COMEDIES_0071,"Emmy Best Comedies
2025","The Studio
Season 1
Apple TV+"
EMMY_BEST_COMEDIES_0072,"Emmy Best Comedies
The Studio
Season 1
Apple TV+",2025
