WORLD_CAPITALS_0001,"World Capitals
Kuwait",Kuwait City
WORLD_CAPITALS_0002,"World Capitals
Kuwait City",Kuwait
WORLD_CAPITALS_0003,"World Capitals
Austria",Vienna
WORLD_CAPITALS_0004,"World Capitals
Vienna",Austria
WORLD_CAPITALS_0005,"World Capitals
Sao Tome and Principe",Sao Tome
WORLD_CAPITALS_0006,"World Capitals
Sao Tome",Sao Tome and Principe
WORLD_CAPITALS_0007,"World Capitals
Belize",Belmopan
WORLD_CAPITALS_0008,"World Capitals
Belmopan",Belize
WORLD_CAPITALS_0009,"World Capitals
England",London
WORLD_CAPITALS_0010,"World Capitals
London",England
WORLD_CAPITALS_0011,"World Capitals
Guinea-Bissau",Bissau
WORLD_CAPITALS_0012,"World Capitals
Bissau",Guinea-Bissau
WORLD_CAPITALS_0013,"World Capitals
Australia",Canberra
WORLD_CAPITALS_0014,"World Capitals
Canberra",Australia
WORLD_CAPITALS_0015,"World Capitals
Palestine",Jerusalem (Ramallah)
WORLD_CAPITALS_0016,"World Capitals
Jerusalem (Ramallah)",Palestine
WORLD_CAPITALS_0017,"World Capitals
China",Beijing
WORLD_CAPITALS_0018,"World Capitals
Beijing",China
WORLD_CAPITALS_0019,"World Capitals
Canada",Ottawa
WORLD_CAPITALS_0020,"World Capitals
Ottawa",Canada
WORLD_CAPITALS_0021,"World Capitals
India",New Delhi
WORLD_CAPITALS_0022,"World Capitals
New Delhi",India
WORLD_CAPITALS_0023,"World Capitals
Iraq",Baghdad
WORLD_CAPITALS_0024,"World Capitals
Baghdad",Iraq
WORLD_CAPITALS_0025,"World Capitals
Luxembourg",Luxembourg
WORLD_CAPITALS_0026,"World Capitals
Luxembourg",Luxembourg
WORLD_CAPITALS_0027,"World Capitals
Iceland",Reykjavik
WORLD_CAPITALS_0028,"World Capitals
Reykjavik",Iceland
WORLD_CAPITALS_0029,"World Capitals
Israel",Jerusalem
WORLD_CAPITALS_0030,"World Capitals
Jerusalem",Israel
WORLD_CAPITALS_0031,"World Capitals
San Marino",San Marino
WORLD_CAPITALS_0032,"World Capitals
San Marino",San Marino
WORLD_CAPITALS_0033,"World Capitals
Cuba",Havana
WORLD_CAPITALS_0034,"World Capitals
Havana",Cuba
WORLD_CAPITALS_0035,"World Capitals
Germany",Berlin
WORLD_CAPITALS_0036,"World Capitals
Berlin",Germany
WORLD_CAPITALS_0037,"World Capitals
Guatemala",Guatemala City
WORLD_CAPITALS_0038,"World Capitals
Guatemala City",Guatemala
WORLD_CAPITALS_0039,"World Capitals
Ireland",Dublin
WORLD_CAPITALS_0040,"World Capitals
Dublin",Ireland
WORLD_CAPITALS_0041,"World Capitals
Northern Ireland",Belfast
WORLD_CAPITALS_0042,"World Capitals
Belfast",Northern Ireland
WORLD_CAPITALS_0043,"World Capitals
Netherlands",Amsterdam
WORLD_CAPITALS_0044,"World Capitals
Amsterdam",Netherlands
WORLD_CAPITALS_0045,"World Capitals
Andorra",Andorra la Vella
WORLD_CAPITALS_0046,"World Capitals
Andorra la Vella",Andorra
WORLD_CAPITALS_0047,"World Capitals
Tunisia",Tunis
WORLD_CAPITALS_0048,"World Capitals
Tunis",Tunisia
WORLD_CAPITALS_0049,"World Capitals
Singapore",Singapore
WORLD_CAPITALS_0050,"World Capitals
Singapore",Singapore
WORLD_CAPITALS_0051,"World Capitals
Argentina",Buenos Aires
WORLD_CAPITALS_0052,"World Capitals
Buenos Aires",Argentina
WORLD_CAPITALS_0053,"World Capitals
Cambodia",Phnom Penh
WORLD_CAPITALS_0054,"World Capitals
Phnom Penh",Cambodia
WORLD_CAPITALS_0055,"World Capitals
Taiwan",Taipei
WORLD_CAPITALS_0056,"World Capitals
Taipei",Taiwan
WORLD_CAPITALS_0057,"World Capitals
United States",Washington D.C.
WORLD_CAPITALS_0058,"World Capitals
Washington D.C.",United States
WORLD_CAPITALS_0059,"World Capitals
Croatia",Zagreb
WORLD_CAPITALS_0060,"World Capitals
Zagreb",Croatia
WORLD_CAPITALS_0061,"World Capitals
Thailand",Bangkok
WORLD_CAPITALS_0062,"World Capitals
Bangkok",Thailand
WORLD_CAPITALS_0063,"World Capitals
Panama",Panama City
WORLD_CAPITALS_0064,"World Capitals
Panama City",Panama
WORLD_CAPITALS_0065,"World Capitals
Egypt",Cairo
WORLD_CAPITALS_0066,"World Capitals
Cairo",Egypt
WORLD_CAPITALS_0067,"World Capitals
Mexico",Mexico City
WORLD_CAPITALS_0068,"World Capitals
Mexico City",Mexico
WORLD_CAPITALS_0069,"World Capitals
Poland",Warsaw
WORLD_CAPITALS_0070,"World Capitals
Warsaw",Poland
WORLD_CAPITALS_0071,"World Capitals
Sweden",Stockholm
WORLD_CAPITALS_0072,"World Capitals
Stockholm",Sweden
WORLD_CAPITALS_0073,"World Capitals
Monaco",Monaco
WORLD_CAPITALS_0074,"World Capitals
Monaco",Monaco
WORLD_CAPITALS_0075,"World Capitals
New Zealand",Wellington
WORLD_CAPITALS_0076,"World Capitals
Wellington",New Zealand
WORLD_CAPITALS_0077,"World Capitals
Philippines",Manila
WORLD_CAPITALS_0078,"World Capitals
Manila",Philippines
WORLD_CAPITALS_0079,"World Capitals
Spain",Madrid
WORLD_CAPITALS_0080,"World Capitals
Madrid",Spain
WORLD_CAPITALS_0081,"World Capitals
United Kingdom",London
WORLD_CAPITALS_0082,"World Capitals
London",United Kingdom
WORLD_CAPITALS_0083,"World Capitals
Portugal",Lisbon
WORLD_CAPITALS_0084,"World Capitals
Lisbon",Portugal
WORLD_CAPITALS_0085,"World Capitals
Algeria",Algiers
WORLD_CAPITALS_0086,"World Capitals
Algiers",Algeria
WORLD_CAPITALS_0087,"World Capitals
El Salvador",San Salvador
WORLD_CAPITALS_0088,"World Capitals
San Salvador",El Salvador
WORLD_CAPITALS_0089,"World Capitals
Greece",Athens
WORLD_CAPITALS_0090,"World Capitals
Athens",Greece
WORLD_CAPITALS_0091,"World Capitals
North Korea",Pyongyang
WORLD_CAPITALS_0092,"World Capitals
Pyongyang",North Korea
WORLD_CAPITALS_0093,"World Capitals
Vatican City",Vatican City
WORLD_CAPITALS_0094,"World Capitals
Vatican City",Vatican City
WORLD_CAPITALS_0095,"World Capitals
Switzerland",Bern
WORLD_CAPITALS_0096,"World Capitals
Bern",Switzerland
WORLD_CAPITALS_0097,"World Capitals
Italy",Rome
WORLD_CAPITALS_0098,"World Capitals
Rome",Italy
WORLD_CAPITALS_0099,"World Capitals
Bolivia",La Paz (administrative) Sucre (official)
WORLD_CAPITALS_0100,"World Capitals
La Paz (administrative) Sucre (official)",Bolivia
WORLD_CAPITALS_0101,"World Capitals
Slovenia",Ljubljana
WORLD_CAPITALS_0102,"World Capitals
Ljubljana",Slovenia
WORLD_CAPITALS_0103,"World Capitals
Jamaica",Kingston
WORLD_CAPITALS_0104,"World Capitals
Kingston",Jamaica
WORLD_CAPITALS_0105,"World Capitals
Malta",Valletta
WORLD_CAPITALS_0106,"World Capitals
Valletta",Malta
WORLD_CAPITALS_0107,"World Capitals
Qatar",Doha
WORLD_CAPITALS_0108,"World Capitals
Doha",Qatar
WORLD_CAPITALS_0109,"World Capitals
Japan",Tokyo
WORLD_CAPITALS_0110,"World Capitals
Tokyo",Japan
WORLD_CAPITALS_0111,"World Capitals
Togo",Lome
WORLD_CAPITALS_0112,"World Capitals
Lome",Togo
WORLD_CAPITALS_0113,"World Capitals
Ukraine",Kyiv (Kiev)
WORLD_CAPITALS_0114,"World Capitals
Kyiv (Kiev)",Ukraine
WORLD_CAPITALS_0115,"World Capitals
Morocco",Rabat
WORLD_CAPITALS_0116,"World Capitals
Rabat",Morocco
WORLD_CAPITALS_0117,"World Capitals
Serbia",Belgrade
WORLD_CAPITALS_0118,"World Capitals
Belgrade",Serbia
WORLD_CAPITALS_0119,"World Capitals
Zimbabwe",Harare
WORLD_CAPITALS_0120,"World Capitals
Harare",Zimbabwe
WORLD_CAPITALS_0121,"World Capitals
Albania",Tirana
WORLD_CAPITALS_0122,"World Capitals
Tirana",Albania
WORLD_CAPITALS_0123,"World Capitals
Maldives",Male
WORLD_CAPITALS_0124,"World Capitals
Male",Maldives
WORLD_CAPITALS_0125,"World Capitals
Paraguay",Asuncion
WORLD_CAPITALS_0126,"World Capitals
Asuncion",Paraguay
WORLD_CAPITALS_0127,"World Capitals
Kazakhstan",Astana
WORLD_CAPITALS_0128,"World Capitals
Astana",Kazakhstan
WORLD_CAPITALS_0129,"World Capitals
Myanmar (Burma)",Naypyidaw
WORLD_CAPITALS_0130,"World Capitals
Naypyidaw",Myanmar (Burma)
WORLD_CAPITALS_0131,"World Capitals
Russia",Moscow
WORLD_CAPITALS_0132,"World Capitals
Moscow",Russia
WORLD_CAPITALS_0133,"World Capitals
South Sudan",Juba
WORLD_CAPITALS_0134,"World Capitals
Juba",South Sudan
WORLD_CAPITALS_0135,"World Capitals
Tanzania",Dodoma
WORLD_CAPITALS_0136,"World Capitals
Dodoma",Tanzania
WORLD_CAPITALS_0137,"World Capitals
France",Paris
WORLD_CAPITALS_0138,"World Capitals
Paris",France
WORLD_CAPITALS_0139,"World Capitals
Republic of the Congo",Brazzaville
WORLD_CAPITALS_0140,"World Capitals
Brazzaville",Republic of the Congo
WORLD_CAPITALS_0141,"World Capitals
Cote d'Ivoire (Ivory Coast)",Yamoussoukro
WORLD_CAPITALS_0142,"World Capitals
Yamoussoukro",Cote d'Ivoire (Ivory Coast)
WORLD_CAPITALS_0143,"World Capitals
Guinea",Conakry
WORLD_CAPITALS_0144,"World Capitals
Conakry",Guinea
WORLD_CAPITALS_0145,"World Capitals
Laos",Vientiane
WORLD_CAPITALS_0146,"World Capitals
Vientiane",Laos
WORLD_CAPITALS_0147,"World Capitals
Latvia",Riga
WORLD_CAPITALS_0148,"World Capitals
Riga",Latvia
WORLD_CAPITALS_0149,"World Capitals
Liechtenstein",Vaduz
WORLD_CAPITALS_0150,"World Capitals
Vaduz",Liechtenstein
WORLD_CAPITALS_0151,"World Capitals
Azerbaijan",Baku
WORLD_CAPITALS_0152,"World Capitals
Baku",Azerbaijan
WORLD_CAPITALS_0153,"World Capitals
Lebanon",Beirut
WORLD_CAPITALS_0154,"World Capitals
Beirut",Lebanon
WORLD_CAPITALS_0155,"World Capitals
Hungary",Budapest
WORLD_CAPITALS_0156,"World Capitals
Budapest",Hungary
WORLD_CAPITALS_0157,"World Capitals
Ethiopia",Addis Ababa
WORLD_CAPITALS_0158,"World Capitals
Addis Ababa",Ethiopia
WORLD_CAPITALS_0159,"World Capitals
Saudi Arabia",Riyadh
WORLD_CAPITALS_0160,"World Capitals
Riyadh",Saudi Arabia
WORLD_CAPITALS_0161,"World Capitals
Somalia",Mogadishu
WORLD_CAPITALS_0162,"World Capitals
Mogadishu",Somalia
WORLD_CAPITALS_0163,"World Capitals
Haiti",Port au Prince
WORLD_CAPITALS_0164,"World Capitals
Port au Prince",Haiti
WORLD_CAPITALS_0165,"World Capitals
Kyrgyzstan",Bishkek
WORLD_CAPITALS_0166,"World Capitals
Bishkek",Kyrgyzstan
WORLD_CAPITALS_0167,"World Capitals
Samoa",Apia
WORLD_CAPITALS_0168,"World Capitals
Apia",Samoa
WORLD_CAPITALS_0169,"World Capitals
Vietnam",Hanoi
WORLD_CAPITALS_0170,"World Capitals
Hanoi",Vietnam
WORLD_CAPITALS_0171,"World Capitals
Libya",Tripoli
WORLD_CAPITALS_0172,"World Capitals
Tripoli",Libya
WORLD_CAPITALS_0173,"World Capitals
Jordan",Amman
WORLD_CAPITALS_0174,"World Capitals
Amman",Jordan
WORLD_CAPITALS_0175,"World Capitals
Norway",Oslo
WORLD_CAPITALS_0176,"World Capitals
Oslo",Norway
WORLD_CAPITALS_0177,"World Capitals
Djibouti",Djibouti
WORLD_CAPITALS_0178,"World Capitals
Djibouti",Djibouti
WORLD_CAPITALS_0179,"World Capitals
Georgia",Tbilisi
WORLD_CAPITALS_0180,"World Capitals
Tbilisi",Georgia
WORLD_CAPITALS_0181,"World Capitals
Honduras",Tegucigalpa
WORLD_CAPITALS_0182,"World Capitals
Tegucigalpa",Honduras
WORLD_CAPITALS_0183,"World Capitals
East Timor",Dili
WORLD_CAPITALS_0184,"World Capitals
Dili",East Timor
WORLD_CAPITALS_0185,"World Capitals
Finland",Helsinki
WORLD_CAPITALS_0186,"World Capitals
Helsinki",Finland
WORLD_CAPITALS_0187,"World Capitals
Uganda",Kampala
WORLD_CAPITALS_0188,"World Capitals
Kampala",Uganda
WORLD_CAPITALS_0189,"World Capitals
Ecuador",Quito
