Oscar Best Picture: 2007,No Country for Old Men
No Country for Old Men,2007
Oscar Best Picture: 2019,Parasite
Parasite,2019
Oscar Best Picture: 2023,Oppenheimer
Oppenheimer,2023
Oscar Best Picture: 2008,Slumdog Millionaire
Slumdog Millionaire,2008
Oscar Best Picture: 2017,The Shape of Water
The Shape of Water,2017
Oscar Best Picture: 2005,Crash
Crash,2005
Oscar Best Picture: 2013,12 Years a Slave
12 Years a Slave,2013
Oscar Best Picture: 2010,The King's Speech
The King's Speech,2010
Oscar Best Picture: 2002,Chicago
Chicago,2002
Oscar Best Picture: 2001,A Beautiful Mind
A Beautiful Mind,2001
Oscar Best Picture: 2012,Argo
Argo,2012
Oscar Best Picture: 2004,Million Dollar Baby
Million Dollar Baby,2004
Oscar Best Picture: 2000,Gladiator
Gladiator,2000
Oscar Best Picture: 2020,Nomadland
Nomadland,2020
Oscar Best Picture: 2016,Moonlight
Moonlight,2016
Oscar Best Picture: 2018,Green Book
Green Book,2018
Oscar Best Picture: 2006,The Departed
The Departed,2006
Oscar Best Picture: 2022,Everything Everywhere All at Once 
Everything Everywhere All at Once ,2022
Oscar Best Picture: 2015,Spotlight
Spotlight,2015
Oscar Best Picture: 2021,CODA
CODA,2021
Oscar Best Picture: 2003,The Lord of the Rings: The Return of the King
The Lord of the Rings: The Return of the King,2003
Oscar Best Picture: 2014,Birdman or (The Unexpected Virtue of Ignorance)
Birdman or (The Unexpected Virtue of Ignorance),2014
Oscar Best Picture: 2009,The Hurt Locker
The Hurt Locker,2009
Oscar Best Picture: 2011,The Artist
The Artist,2011
Oscar Best Picture: 1988,Rain Man
Rain Man,1988
Oscar Best Picture: 1994,Forrest Gump
Forrest Gump,1994
Oscar Best Picture: 1997,Titanic
Titanic,1997
Oscar Best Picture: 1995,Braveheart
Braveheart,1995
Oscar Best Picture: 1983,Terms of Endearment
Terms of Endearment,1983
Oscar Best Picture: 1986,Platoon
Platoon,1986
Oscar Best Picture: 1985,Out of Africa
Out of Africa,1985
Oscar Best Picture: 1992,Unforgiven 
Unforgiven ,1992
Oscar Best Picture: 1999,American Beauty
American Beauty,1999
Oscar Best Picture: 1993,Schindler's List
Schindler's List,1993
Oscar Best Picture: 1990,Dances with Wolves
Dances with Wolves,1990
Oscar Best Picture: 1984,Amadeus
Amadeus,1984
Oscar Best Picture: 1982,Gandhi
Gandhi,1982
Oscar Best Picture: 1989,Driving Miss Daisy
Driving Miss Daisy,1989
Oscar Best Picture: 1991,The Silence of the Lambs
The Silence of the Lambs,1991
Oscar Best Picture: 1981,Chariots of Fire
Chariots of Fire,1981
Oscar Best Picture: 1998,Shakespeare in Love
Shakespeare in Love,1998
Oscar Best Picture: 1996,The English Patient
The English Patient,1996
Oscar Best Picture: 1987,The Last Emperor
The Last Emperor,1987
Oscar Best Picture: 1980,Ordinary People
Ordinary People,1980
Oscar Best Picture: 1979,Kramer vs. Kramer
Kramer vs. Kramer,1979
Oscar Best Picture: 1978,The Deer Hunter
The Deer Hunter,1978
Oscar Best Picture: 1977,Annie Hall
Annie Hall,1977
Oscar Best Picture: 1976,Rocky
Rocky,1976
Oscar Best Picture: 1975,One Flew Over the Cuckoo's Nest
One Flew Over the Cuckoo's Nest,1975
Oscar Best Picture: 1974,The Godfather Part II
The Godfather Part II,1974
Oscar Best Picture: 1973,The Sting
The Sting,1973
Oscar Best Picture: 1972,The Godfather
The Godfather,1972
Oscar Best Picture: 1971,The French Connection
The French Connection,1971
Oscar Best Picture: 1970,Patton
Patton,1970
Oscar Best Picture: 2024,Anora
Anora,2024
Oscar Best Picture: 1969,Midnight Cowboy
Midnight Cowboy,1969
Oscar Best Picture: 1968,Oliver!
Oliver!,1968
Oscar Best Picture: 1967,In the Heat of the Night
In the Heat of the Night,1967
Oscar Best Picture: 1966,A Man for All Seasons 
A Man for All Seasons ,1966
Oscar Best Picture: 1965,The Sound of Music
The Sound of Music,1965
Oscar Best Picture: 1964,My Fair Lady
My Fair Lady,1964
Oscar Best Picture: 1963,Tom Jones 
Tom Jones ,1963
Oscar Best Picture: 1962,Lawrence of Arabia 
Lawrence of Arabia ,1962
Oscar Best Picture: 1961,West Side Story
West Side Story,1961
Oscar Best Picture: 1960,The Apartment 
The Apartment ,1960
Oscar Best Picture: 1959,Ben-Hur
Ben-Hur,1959
Oscar Best Picture: 1958,Gigi
Gigi,1958
Oscar Best Picture: 1957,The Bridge on the River Kwai
The Bridge on the River Kwai,1957
Oscar Best Picture: 1956,Around the World in 80 Days
Around the World in 80 Days,1956
Oscar Best Picture: 1955,Marty
Marty,1955
Oscar Best Picture: 1954,On the Waterfront
On the Waterfront,1954
Oscar Best Picture: 1953,From Here to Eternity
From Here to Eternity,1953
Oscar Best Picture: 1952,The Greatest Show on Earth
The Greatest Show on Earth,1952
Oscar Best Picture: 1951,An American in Paris
An American in Paris,1951
Oscar Best Picture: 1950,All About Eve
All About Eve,1950
