2000,How the Grinch Stole Christmas
How the Grinch Stole Christmas,2000
2001,Harry Potter and the Sorcerer's Stone
Harry Potter and the Sorcerer's Stone,2001
2002,Spider-Man
Spider-Man,2002
2003,The Lord of the Rings: The Return of the King
The Lord of the Rings: The Return of the King,2003
2004,Shrek 2
Shrek 2,2004
2005,Star Wars: Episode III – Revenge of the Sith
Star Wars: Episode III – Revenge of the Sith,2005
2006,Pirates of the Caribbean: Dead Man's Chest
Pirates of the Caribbean: Dead Man's Chest,2006
2007,Spider-Man 3
Spider-Man 3,2007
2008,The Dark Knight
The Dark Knight,2008
2009,Avatar
Avatar,2009
2010,Toy Story 3
Toy Story 3,2010
2011,Harry Potter and the Deathly Hallows – Part 2
Harry Potter and the Deathly Hallows – Part 2,2011
2012,The Avengers
The Avengers,2012
2013,The Hunger Games: Catching Fire
The Hunger Games: Catching Fire,2013
2014,American Sniper
American Sniper,2014
2015,Star Wars: Episode VII – The Force Awakens
Star Wars: Episode VII – The Force Awakens,2015
2016,Rogue One: A Star Wars Story
Rogue One: A Star Wars Story,2016
2017,Star Wars: Episode VIII – The Last Jedi
Star Wars: Episode VIII – The Last Jedi,2017
2018,Black Panther
Black Panther,2018
2019,Avengers: Endgame
Avengers: Endgame,2019
2020,Bad Boys For Life
Bad Boys For Life,2020
2021,Spider-Man: No Way Home
Spider-Man: No Way Home,2021
2022,Top Gun: Maverick
Top Gun: Maverick,2022
2023,Barbie
Barbie,2023
2024,Inside Out 2
Inside Out 2,2024
1999,Star Wars: Episode I - The Phantom Menace
Star Wars: Episode I - The Phantom Menace,1999
1998,Saving Private Ryan
Saving Private Ryan,1998
1997,Titanic
Titanic,1997
1996,Independence Day
Independence Day,1996
1995,Toy Story
Toy Story,1995
1994,Forrest Gump
Forrest Gump,1994
1993,Jurassic Park
Jurassic Park,1993
1992,Aladdin
Aladdin,1992
1991,Terminator 2: Judgement Day
Terminator 2: Judgement Day,1991
1990,Home Alone 
Home Alone ,1990
1989,Batman
Batman,1989
1988,Rain Man
Rain Man,1988
1987,Three Men and a Baby
Three Men and a Baby,1987
1986,Top Gun
Top Gun,1986
1985,Back to the Future
Back to the Future,1985
1984,Beverly Hills Cop
Beverly Hills Cop,1984
1983,(Star Wars: Episode VI - ) Return of the Jedi
(Star Wars: Episode VI - ) Return of the Jedi,1983
1982,E.T. the Extra-Terrestrial
E.T. the Extra-Terrestrial,1982
1981,(Indiana Jones and the) Raiders of the Lost Ark
(Indiana Jones and the) Raiders of the Lost Ark,1981
1980,(Star Wars: Episode V - ) The Empire Strikes Back
(Star Wars: Episode V - ) The Empire Strikes Back,1980
1979,Kramer vs. Kramer
Kramer vs. Kramer,1979
1978,Grease
Grease,1978
1977,Star Wars (Episode IV - A New Hope)
Star Wars (Episode IV - A New Hope),1977
2025,A Minecraft Movie
A Minecraft Movie,2025
